Accomodation_Type,Any_Relationships_CCS,From_Dummy,Household_ID,Number_Of_Usual_Residents,Ownership_Type,QID
5,,0,h28586311386583375,2,2,q3870392497247865
7,,0,h98070143008383021,3,1,q3977805848589835
-9,,0,h47943840157311059,4,1,q3400587806050478
4,,0,h70783897524946758,2,-7,q2550709015156832
3,,0,h27588058963715085,1,3,q6785103648191924
-7,,0,h60650580600552854,2,5,q4588193574932581
3,,0,h64167415144397202,3,2,q5498778088554660
6,,0,h49940479216097048,1,1,q9149930083952844
-3,,0,h86047340608699252,2,5,q3342282192934730
7,,0,h10271480314793803,1,1,q8058466709125461
3,,0,h81398037976384143,2,1,q4757226599541686
6,,0,h98124413482390622,1,3,q2860038305180241
-3,,0,h82243443068333689,2,4,q1138085095083588
-3,,0,h31247999890722371,5,2,q8482651265042654
3,,0,h86374380324607830,2,-9,q3920184022345540
4,,0,h13515168297566989,2,3,q1278167152665832
5,,0,h72105969972956223,2,4,q1829227242986132
5,,0,h88432649019197862,1,2,q8405016794660222
6,,0,h86894215067132290,2,-9,q5914200624305047
6,,0,h94291116368530240,2,4,q4482603205375321
6,,0,h98553959269877990,1,4,q7314833533075132
-7,,0,h53411000112594761,2,2,q3540992015319734
6,,0,h30979443837728405,2,2,q3839399099230630
2,,0,h78327094299122841,1,1,q9427242269006468
5,,0,h36099743554829762,3,5,q1694365232391096
1,,0,h40196333900666791,4,5,q6830387397472832
6,,0,h23563011642736241,2,1,q3427168726154413
4,,0,h41867869656707081,4,4,q5409789353384873
7,,0,h36788878321559402,2,-9,q5963585227386429
4,,0,h90466321312716656,4,1,q8779110919883048
2,,0,h12101091368662550,2,3,q7336171971546779
-3,,0,h67594523046634556,1,-7,q8820108045259201
-7,,0,h49297825714252598,5,3,q9886925378470445
-7,,0,h49832359893998238,1,-7,q8985228979149189
3,,0,h73383870924620238,1,-9,q5855508329302021
-3,,0,h95735265199670745,2,5,q8952650457230401
3,,0,h18436826850229229,2,5,q1969990280812741
6,,0,h99878922961117138,2,5,q5326432159375841
1,,0,h92740516875622434,2,1,q1103335580611137
7,,0,h90672133937430760,2,2,q1921873693220367
-9,,0,h70884470635806221,5,5,q7452393127392805
-7,,0,h46901587369043241,3,4,q5261387606110451
3,,0,h65364823061450508,4,2,q5411162437152926
7,,0,h15241623094082229,4,3,q5366742404813605
-7,,0,h87385903906520429,1,-7,q6417355262127240
2,,0,h36547354717001831,1,1,q7508244860502403
4,,0,h33676206408370147,2,4,q5519676831316487
7,,0,h90741769287871378,2,1,q2594581333393146
-3,,0,h76407525151586641,5,-7,q4468291584273423
-7,,0,h23527713137367292,3,2,q3962871988179857
3,,0,h49489711983177130,3,-9,q1872737961455194
-9,,0,h89830427508007119,2,-9,q3470196212851193
7,,0,h17648522558182610,1,1,q5105863106003417
-7,,0,h30287309113883299,2,-7,q8624685051006259
2,,0,h62957249843781764,2,5,q6148428844350562
-3,,0,h40942070134761540,5,2,q2914699599893467
6,,0,h79919974108782882,4,-7,q8448132617604335
6,,0,h42182981259252780,1,5,q2862768128773213
-9,,0,h90601859172146906,1,-9,q1713956245164831
1,,0,h94389016497978194,4,-7,q8594325410165060
7,,0,h69514456657560091,1,-7,q6919872630447786
3,,0,h57985281873204105,2,4,q7464105579729188
-9,,0,h59961783468844763,2,1,q1120320041461996
-7,,0,h82791395848288913,4,5,q6442668461398832
3,,0,h15625881833289668,2,5,q6174512848085004
5,,0,h57965363676098588,4,-9,q4842189012756614
7,,0,h75825678658990711,3,2,q7344422031486413
-9,,0,h53986295613112189,3,3,q2597311438329896
-3,,0,h81370841914952213,2,2,q6140994531028411
4,,0,h87553672814027296,1,1,q8985797144847260
2,,0,h26759361978199321,2,1,q9269010594716946
1,,0,h80920426890033339,1,2,q1597059346825839
6,,0,h60259386453805050,2,1,q6631857725967841
3,,0,h78100058767091782,5,-9,q6963751096230186
6,,0,h94940385872673949,1,5,q5444404345408508
2,,0,h86198645820610274,5,3,q9521395926713751
7,,0,h64947561897661788,1,-9,q5307371111763225
-7,,0,h47106266124587399,1,4,q9303997380638647
-9,,0,h25561290929951812,1,3,q8097716728160506
6,,0,h79029290391488101,1,-9,q6809038457095773
-3,,0,h33564209006761776,2,3,q9134246791304192
4,,0,h15933437521035795,1,4,q2038456339269787
5,,0,h47125800677981008,3,5,q3815918135275512
-7,,0,h88953524291237685,2,5,q3353193059899029
6,,0,h36482819329273924,2,2,q6938077737397519
3,,0,h67938786156301588,1,5,q2783529820714356
5,,0,h14385910588235681,1,5,q9505088577669700
-7,,0,h55462817308715632,1,-7,q6617150769131771
2,,0,h90473926336642975,2,-7,q5768165325422468
-7,,0,h19444174426011507,1,-9,q7160755065279658
-3,,0,h86852254091805169,2,-9,q6927049271678927
4,,0,h60632814501344797,3,3,q2305236456323422
2,,0,h86200622953698574,3,-7,q2633810368669269
5,,0,h29020680310744363,2,3,q1687556254607734
3,,0,h41693576192653058,1,-9,q3161724937438877
6,,0,h78911856274000465,1,-9,q1592044516379556
3,,0,h73564149387018742,3,1,q7322340889349050
-7,,0,h42590140623916103,3,-9,q9649858347537331
7,,0,h20410351575076922,2,3,q3541830170726216
3,,0,h31807491506430317,2,1,q2414400596678661
2,,0,h72309530608724974,1,-7,q6448667650925626
3,,0,h13137339413211047,5,3,q6255768572772330
5,,0,h23320099199281534,3,1,q1206644055855630
-9,,0,h23347880190039393,1,-7,q7543171596154274
-7,,0,h74770443325894335,4,4,q1601693517254013
-9,,0,h83920379612128121,4,3,q4078106175586398
7,,0,h74506970952766148,2,1,q3995252323839593
-3,,0,h23577680600076702,3,-7,q2489291451950099
2,,0,h23143931192700959,1,-9,q7341519440265733
-7,,0,h71337285712947984,4,1,q5640908757233563
5,,0,h39859458680291776,1,1,q2962849777429038
5,,0,h29670242993332569,5,3,q7059177860505437
-3,,0,h18127677730897960,2,5,q5530518545362441
2,,0,h24507434332650599,4,2,q4439458968359987
5,,0,h41103488400507867,2,2,q9595885486820204
7,,0,h81917108941927185,2,3,q6712605890274890
-3,,0,h46736699182547625,1,-7,q1689442151564304
6,,0,h24980866699076248,2,4,q8005819893248158
6,,0,h77232227440123214,2,-9,q1513904539439447
-9,,0,h79100896598652757,1,-7,q7785380866067213
4,,0,h15936405707506432,5,3,q9126443519398075
-9,,0,h33897122974755062,4,-7,q3054241061075975
-3,,0,h22722789825970377,2,4,q3645907647210702
-7,,0,h91851354421310914,2,4,q6020647044329757
6,,0,h96081543528374588,2,3,q6339246231208516
4,,0,h97004181805511857,2,-7,q3424479366364974
7,,0,h43449556306454548,2,-7,q3013249108189029
7,,0,h84696283257936958,1,4,q2780068271966938
4,,0,h42141729230371614,5,-7,q1615008206708275
5,,0,h95787927883480484,1,5,q4727890935925733
-3,,0,h37893619924579047,2,2,q1660311462047124
4,,0,h65359845915232634,2,-7,q6769595789656551
5,,0,h24142747965551270,5,3,q5067820901592057
-9,,0,h33789076050987726,4,-9,q1884517346180018
2,,0,h83319411110875650,1,5,q6055959526184085
6,,0,h57871564764000853,1,2,q6608424978911064
4,,0,h86559020396257833,2,3,q1910343344662704
2,,0,h53151185950887245,1,5,q4511201209292313
-3,,0,h67805940946501364,1,-7,q2973024171063124
-7,,0,h90662026631560409,3,4,q3898581123618414
2,,0,h21827400832766012,5,-9,q9130396697037694
-7,,0,h90525176098313738,1,-7,q2538727681764838
5,,0,h50725262678650972,2,-9,q8487018108221531
-7,,0,h49727607994970325,5,4,q6463085883142086
1,,0,h49308803959296860,2,5,q9916224596575379
3,,0,h16865166023402341,3,1,q1431133739031208
1,,0,h75504418071456785,2,2,q4103341718850962
1,,0,h14219860743438844,5,3,q1946913383488031
-3,,0,h41728173007131828,3,2,q4253505220643953
-7,,0,h36424612561897996,1,4,q1047653193237973
-7,,0,h56786462831100272,1,-7,q3829287057332340
1,,0,h54093837195010115,2,2,q6939937492737795
6,,0,h44232043381319095,2,3,q6713083398647263
5,,0,h46956201841625513,1,4,q7395732677424405
2,,0,h32827456249763928,2,5,q1996992015412769
7,,0,h42189164476113893,2,3,q3788581896888171
-9,,0,h62061545570630196,2,1,q1788225215593432
3,,0,h34373799259649778,2,5,q5771965646961447
4,,0,h79033594209978901,2,-7,q2859349650388390
-9,,0,h45701419322867334,4,-7,q6819525437880546
3,,0,h31434402666817198,2,2,q3055922808174766
2,,0,h17083211597598001,2,5,q2173889104327975
4,,0,h44244701432971067,2,5,q5505311095532474
1,,0,h92014433818031626,1,-9,q6407694588609545
3,,0,h62261515370019866,1,1,q3442456078887010
2,,0,h77082809317094710,4,5,q5220865691993400
-3,,0,h49929736784085731,5,5,q7378534426049247
-3,,0,h86076915747735521,2,2,q2696898584045665
6,,0,h87248193340844685,4,5,q8414411423927958
-9,,0,h11470633792634521,2,5,q9406542010950913
4,,0,h94960104439075596,3,2,q7568197779874615
2,,0,h92890488911577760,2,-7,q2286545208980729
2,,0,h10802094614300440,1,2,q6068286933726678
1,,0,h56330405820726473,3,1,q5563258150363013
3,,0,h88519642911889308,2,1,q5988527734141590
4,,0,h36536200220043821,2,-9,q2026344855765237
-3,,0,h14655778076081808,2,1,q2884019481131584
5,,0,h91435176677018437,5,3,q8472457332780717
1,,0,h63491223773538469,2,-9,q5148815915978507
-7,,0,h48092324727685425,1,3,q5524674137683163
4,,0,h16537244642530654,4,1,q3785155957088173
-3,,0,h68126220732093576,4,5,q1847733574560903
2,,0,h17395874993701514,2,2,q9284047577723656
-9,,0,h62374952795773912,3,-7,q7211526478146511
5,,0,h44797080495003566,2,-9,q7863351599950030
1,,0,h99046660192796422,2,5,q4457812370604630
3,,0,h90337201247477473,2,-7,q4263525592713655
-9,,0,h16182235063712260,2,-7,q8339866462855120
7,,0,h33685975315272409,3,1,q7798176489460028
1,,0,h18812867056265969,1,-9,q2990589917114779
-3,,0,h96533119634029711,1,4,q2082719085577141
-3,,0,h25552481027416752,2,-7,q4495623238747202
-3,,0,h27611649548903166,2,-7,q3234344727403285
6,,0,h61912454329840718,4,4,q1318939889343136
-9,,0,h92652267422540486,4,5,q9463452630318575
-7,,0,h27463213476014955,2,2,q9478947627997753
4,,0,h29027688199797637,3,4,q8682460953500890
3,,0,h14577034416545655,3,5,q3991653335417332
5,,0,h70146513406942059,1,5,q9331391420551923
1,,0,h94193058788269145,1,1,q5867301526341189
6,,0,h24971254996948576,2,4,q1625561532457700
7,,0,h69977575055996629,2,5,q8777059061513674
1,,0,h35292561937238667,2,4,q8802141477713758
-3,,0,h42295649504984391,1,3,q3717781697556595
4,,0,h20025251176777877,2,1,q5665812794510008
1,,0,h38056524024828369,5,4,q6850341064034844
5,,0,h52530837448821016,1,4,q5126074541680926
-3,,0,h16093987546311486,3,-7,q6922486138468198
5,,0,h20585357897767328,1,2,q1878581540385473
7,,0,h28355838773620165,2,1,q1982139395361871
3,,0,h80962918454115570,1,3,q4368445576541066
-3,,0,h26150493721967859,1,5,q4835509822615762
-9,,0,h29082127486116980,2,3,q5027709012882649
-3,,0,h23411233541527986,2,3,q7896543383108724
3,,0,h77158670879340022,2,5,q4944287635412432
2,,0,h18794842860504873,2,1,q9557125530201048
3,,0,h76384921670605733,3,-7,q9582871689602219
3,,0,h95097863582940366,5,5,q4127419501679242
-7,,0,h83732867665064153,2,-7,q7827993795053384
-9,,0,h69781949982181160,2,1,q2642633419180577
7,,0,h87981956989490791,5,1,q9615336947124437
-7,,0,h63875758901213085,2,3,q7862395569962207
3,,0,h24469858741535176,2,4,q3295917947465155
-7,,0,h50872536189920348,5,3,q4368952236201707
3,,0,h33720514189899254,2,3,q4884610622891897
7,,0,h44132646164090707,2,4,q6646625404630146
1,,0,h91011998298368708,1,1,q8011139385230287
-9,,0,h33284455744010694,1,-9,q3419394416953492
-9,,0,h20225947195499787,5,2,q3324010612122315
3,,0,h88442174272761562,2,2,q4441416873167394
1,,0,h25784304728440818,3,4,q5087820911630734
5,,0,h32792239208104374,4,4,q5102537068761038
3,,0,h61685569358127104,1,1,q8087724581778030
7,,0,h44547424866157817,1,-9,q7178009420062464
7,,0,h41089414631828075,1,-7,q6430022264502223
-3,,0,h34570742574064427,5,4,q9129640098943586
7,,0,h99845969046468183,1,-7,q7655614731550711
6,,0,h25069367650549807,2,4,q5864475965704483
-3,,0,h69335285026664062,3,4,q6152136378221327
7,,0,h55506806649935588,1,2,q6425413035029661
1,,0,h73106013078110815,2,5,q6037114356934060
4,,0,h83324308452401138,2,5,q2691237165694188
6,,0,h88347724796787143,5,2,q8779226247831662
-7,,0,h64786921824731746,2,1,q5873027996420369
3,,0,h31580812269642990,2,4,q4838917202863730
7,,0,h89872741847178140,2,-9,q6653381630662277
1,,0,h87112516038950165,3,4,q1685189626419690
1,,0,h57020216264601546,5,-9,q1950845459305150
7,,0,h75682494692767617,5,-9,q5474659593812812
7,,0,h15603508584532150,2,4,q7468244993402672
-3,,0,h33427891939322136,1,2,q2063976769930653
7,,0,h76796473951184517,4,1,q3105597512731145
-3,,0,h41744341640674552,4,1,q9986303563072182
7,,0,h96320979933348780,4,-9,q5663718841972684
1,,0,h34332732053339848,1,2,q7541502403747273
5,,0,h38581377810537497,3,-9,q1531000993008292
-9,,0,h18648598271645023,2,2,q3527835207144874
1,,0,h24205937416338781,3,-7,q4004691482642046
4,,0,h17570712251418476,2,2,q5643367469426615
7,,0,h89030963442934028,5,1,q8544598489945827
-9,,0,h46338199967635294,2,4,q4043651145284501
4,,0,h58572695661443411,3,1,q5131891935772056
6,,0,h56433767973119155,5,3,q3944549978868070
4,,0,h11019841512123185,1,4,q2440706526440936
5,,0,h30330160290972332,4,1,q4293044535563031
1,,0,h91615908739466137,4,1,q7437495319386804
3,,0,h70853045699989851,5,5,q7894023750848002
4,,0,h29267652529217497,2,-9,q7279503354772421
3,,0,h51728639046210032,1,5,q6982817349023790
6,,0,h16813162775407769,4,-7,q8417795853612924
-7,,0,h79457479071687796,2,1,q6495843730090627
-7,,0,h24471357557852669,1,5,q5022357843038783
5,,0,h91550851244200079,1,2,q3793388111853821
3,,0,h54648675693920484,5,-7,q5578236345751068
4,,0,h22846337927837202,4,-9,q1326270429295040
-9,,0,h41869612659934234,4,-7,q3408449908142234
6,,0,h62990879432011213,2,-7,q4272594007444926
1,,0,h34234934838710349,1,4,q9197644543538392
4,,0,h36361445110699578,4,3,q7255625156636177
6,,0,h52251180571401290,1,4,q6151696162641015
5,,0,h59504576984584277,2,5,q6786958920186411
-9,,0,h64504516237728715,4,2,q5064983136239421
3,,0,h72419711030409284,1,1,q6363425509031556
3,,0,h40567680610550947,2,-7,q7064159811949973
-3,,0,h33262820165520439,1,-7,q8133111358890285
6,,0,h31399776903732795,2,3,q2619426792688597
7,,0,h25759960640323410,2,5,q7632631280208139
-7,,0,h67203010051605155,2,-7,q7803597954080798
-3,,0,h87335851810400255,1,4,q9543214739074628
-7,,0,h17538111412286429,2,1,q9529461416614133
-9,,0,h19602499746155213,1,-7,q4677155519043245
3,,0,h48566048886602223,2,5,q2792670343985859
4,,0,h20472432039205410,2,4,q4404818635371249
5,,0,h65849182722464634,2,2,q9929299650409073
-3,,0,h52259921926011225,2,2,q3182710207383819
5,,0,h41687899663523317,1,1,q9471125158710897
6,,0,h80819843755472293,4,3,q7683018946197213
5,,0,h12822505027695828,1,2,q6239046718319870
4,,0,h36476037998698678,2,4,q2520437816933943
7,,0,h58220313441787409,2,3,q2309242324049942
2,,0,h20177455653705852,1,-7,q1151832242562618
6,,0,h88288012169446111,4,2,q5440632751401958
5,,0,h61986927154291670,2,-9,q8799454372776201
7,,0,h19775903643367763,1,3,q3836233232560031
-7,,0,h11934852229455379,1,-9,q2125692115710151
3,,0,h15151177563317608,1,4,q6933697722805473
2,,0,h73712914847883415,2,-7,q4901712056224211
3,,0,h30933239229808868,5,-7,q8652160069159938
-7,,0,h97204704434185333,3,1,q4514351884422583
-3,,0,h81692708461818403,2,3,q6433513723893411
1,,0,h74505398014116383,2,-7,q6131851565968309
2,,0,h97911019675551547,1,5,q1829720255754219
-7,,0,h47019392874843437,2,4,q3676924963953161
-7,,0,h99343520647024300,2,-7,q8725325757875444
2,,0,h87832776929004391,2,-9,q8468773108592526
2,,0,h97862358379527882,2,1,q8672796751811679
4,,0,h45238324823499482,2,3,q8546046680883448
1,,0,h60312983180356939,2,-9,q5310442651093413
7,,0,h26186066616086772,1,3,q7376227190614550
4,,0,h99965298611172059,2,3,q4422833324762707
6,,0,h28324959866150531,2,5,q9238059291005093
1,,0,h20709449943603635,2,5,q5005286781842938
4,,0,h75494410194591920,2,-9,q1978578538558951
-9,,0,h34215526479773021,3,-9,q8466259200972274
3,,0,h56929854699449667,2,3,q1281291717999590
7,,0,h75200793145872847,5,5,q6089663032420232
-7,,0,h98493753178624385,5,1,q3751016311752313
1,,0,h38329128875987987,2,-9,q8176324650186775
5,,0,h59076865378411010,4,5,q5405170682857962
7,,0,h28348362275892362,5,-9,q9619562348701596
1,,0,h81403738668655636,2,3,q7939961294921304
-7,,0,h47441892946475279,2,1,q9398545663997201
-3,,0,h90837469665990263,2,-7,q6696698774276552
-3,,0,h92261645153334715,3,-7,q6406903869517345
7,,0,h85921998759964794,5,-7,q2149892740931902
-9,,0,h44211957721464138,2,3,q4166268910890694
4,,0,h87595083247573476,1,-7,q5577319451486579
-9,,0,h91022749978119697,1,4,q3245390490222418
1,,0,h18783995708410608,1,4,q3090176188472296
4,,0,h17533967555867893,2,2,q5433992631831260
-9,,0,h12866341436624640,4,2,q7953428723445517
3,,0,h40438013408706350,2,5,q9445017326935737
7,,0,h55962013745051326,3,2,q9252728412350358
3,,0,h12180285982439753,1,3,q2994236857588722
1,,0,h41964448830051400,2,-9,q6049609701844841
6,,0,h91788714972119468,2,5,q3716678233629009
1,,0,h42933335399754157,2,2,q6828441559565350
3,,0,h55835939199340164,3,-7,q3944284724953896
6,,0,h72123824353918107,2,3,q3471732104083582
5,,0,h68714946544832068,4,-7,q7302187324604438
6,,0,h52706311581103046,2,5,q8280368073278622
7,,0,h75830096844025957,4,-7,q7080381872856966
1,,0,h97881334691687352,2,-7,q1326661019332233
3,,0,h20339552258928204,2,3,q1161180472897322
3,,0,h69514729822235828,1,3,q3928112298156885
-7,,0,h71374358414176078,2,4,q9086976762111029
-3,,0,h61600686343765999,1,2,q3757128186917639
1,,0,h32618316933595721,2,-9,q7416822939415725
3,,0,h64153100495800139,2,5,q7464670015052048
-3,,0,h56485156332338138,3,5,q2987950079619408
-9,,0,h41313775993449344,2,3,q6917722705379725
4,,0,h42317306386069728,2,-9,q8559364304181662
3,,0,h79457958904011438,2,-7,q6491209085243708
2,,0,h86949456938676851,2,5,q5910289190182203
-9,,0,h31851027395092207,1,5,q4876096255473843
-7,,0,h74556839109802472,2,1,q3206562829052021
4,,0,h56098196827281846,4,-9,q2626641753548155
6,,0,h41385747497975086,1,-9,q9298772938683223
7,,0,h59281057592902678,3,3,q3836202101045794
-7,,0,h91325039939360957,1,-7,q6753859833248984
4,,0,h38566381829628333,2,-7,q3183127879476663
-3,,0,h65417826987063272,3,2,q1966893325544116
6,,0,h88566584492943965,2,5,q3260515429727370
-7,,0,h60603752064236287,1,2,q4570195438350956
2,,0,h98858640944595041,2,1,q4174662163309582
-9,,0,h28182435169401570,1,4,q2624181274450453
5,,0,h46290199375966978,1,5,q5811000674462771
-3,,0,h23399934615332901,4,-9,q2114706025785547
3,,0,h57577065461271733,1,4,q9298417089386951
6,,0,h70457788955156094,4,-7,q1478566299330043
4,,0,h67142029329806265,3,4,q9100367384628092
2,,0,h76812649033599074,1,1,q5510285628840579
5,,0,h96305667741656834,3,-7,q4078599015457209
2,,0,h39293964370349795,1,-7,q1519743568934592
4,,0,h97563821162096696,2,4,q7087994942852832
-3,,0,h80233938578530111,2,2,q1736992855875879
6,,0,h79382731299704614,1,-9,q8575981510678867
7,,0,h76468262030338464,3,2,q7723816033274775
6,,0,h46664570022509361,2,-9,q4409325783497864
6,,0,h10018521156240513,3,3,q3961036918329928
1,,0,h23400852075621991,5,3,q3320279124892225
1,,0,h50081014839001458,1,-7,q1144268012856866
6,,0,h39110112563996643,1,-7,q3444315796117336
-9,,0,h88515708574239311,4,4,q9888719912287754
6,,0,h30555843912240634,2,4,q3771819104009710
7,,0,h32702436176684224,1,2,q2338598078471299
6,,0,h58660587087222198,2,3,q6357434011943320
6,,0,h59484759290283333,2,-9,q6876463202859005
4,,0,h48842218827244192,2,-7,q7033669276928732
-7,,0,h70938283032568375,2,3,q3391302107496711
5,,0,h72361467029585512,2,-7,q2172155482937743
5,,0,h28902556825182228,2,1,q4972532804271078
4,,0,h99871432965077199,1,-9,q9959729315726395
3,,0,h89597924713700092,2,5,q1414811510333923
5,,0,h95190133403547930,2,-7,q6730691194863558
2,,0,h17215479201008796,2,-7,q5874270816439218
5,,0,h95972341121228668,2,1,q3861369704954222
4,,0,h37802948192259670,2,5,q7328481685018978
6,,0,h19658151319481692,3,2,q4227275118839957
-7,,0,h52588630074861838,2,5,q1665156705903520
-9,,0,h82861648079952521,2,2,q9688572510564214
4,,0,h56100211983831769,5,1,q9731674941490261
6,,0,h19207946439219821,3,1,q2743089277341264
5,,0,h93475154939505472,3,5,q3427181605798125
-9,,0,h32862578716865038,2,5,q9790499566242779
7,,0,h36439525089737057,4,1,q8105914625187707
5,,0,h52206808555970417,1,-9,q7860775810459284
6,,0,h39770923967837633,2,3,q1004647231489775
7,,0,h59623519894153717,2,-9,q5163776578310141
1,,0,h76076159222248833,3,-9,q2681279390314155
4,,0,h48249768747931660,4,-7,q3426566559622797
-7,,0,h65359468053978924,2,1,q3300470680521551
7,,0,h13178835273747249,2,-9,q2892076973929939
-7,,0,h33067751246210807,2,1,q9934615756216000
4,,0,h70593315225734650,1,2,q2516533973971262
6,,0,h81768755893609472,2,4,q5951939908226673
-9,,0,h92372925756351049,1,-9,q5890185875380486
1,,0,h74308474790046349,4,5,q5093020506029820
-7,,0,h78812618357975517,2,-7,q8649472552723575
2,,0,h80556504535866612,1,4,q1877986705987598
5,,0,h97223465990994801,1,4,q8336590864523484
4,,0,h77260258535196126,1,-7,q6479568509525702
3,,0,h77204424616108728,5,5,q9618884923956428
3,,0,h51928405668426520,2,4,q6489116720954632
3,,0,h86640857096930547,5,4,q8339981084729109
7,,0,h80694127563481532,2,-9,q8542508663647784
-9,,0,h24116162103050660,1,2,q5236915197327579
6,,0,h63566064390609269,2,2,q3744632461479489
7,,0,h80532808447186302,2,-9,q9015640342760435
2,,0,h19237751423680141,4,-9,q2350786455827286
7,,0,h98944015395797428,2,-9,q4872826883573699
7,,0,h88163088425590422,1,5,q4972662850602520
-9,,0,h61712743994635746,2,2,q8192970223513211
6,,0,h69876020947490166,4,1,q1067828158162420
-3,,0,h55788642695204029,2,3,q8638703052247578
5,,0,h42320031462971489,2,2,q6708694958977331
3,,0,h12639774186786258,2,2,q1963430475722450
1,,0,h50764712538413656,1,4,q4385465079840733
5,,0,h63377495265014506,1,-7,q2747150824810993
1,,0,h16762203367009414,2,-7,q9010676391917010
5,,0,h24934431090844248,4,3,q8320019870603067
7,,0,h97844563799751464,2,2,q2340106869256415
2,,0,h15989799555099534,2,3,q1272738583284043
7,,0,h85529323531205633,5,-7,q7579635517976111
4,,0,h82441843786316217,3,-7,q7482579000617225
5,,0,h30261486234496799,2,1,q1742270836137403
-3,,0,h92680055759824143,5,1,q7062869843237658
-3,,0,h86220010697402484,1,2,q1557407032067559
4,,0,h86764885276455583,2,-7,q5244629017029170
-7,,0,h18112473399198271,4,5,q9062327051700665
3,,0,h90560774067818022,1,2,q1947263394956145
5,,0,h79062775514825940,1,-9,q9654917835474980
1,,0,h40864500496827384,1,1,q4788693151976536
2,,0,h99885456715757270,1,5,q6153126880751792
3,,0,h12617708813177939,2,5,q7410231720813473
-7,,0,h87790254994507787,1,4,q6711739335478301
2,,0,h87825502708380024,2,-7,q5016315257778263
3,,0,h65564485988780147,2,5,q7916852385609319
3,,0,h38606212572453377,1,5,q9847477972042541
1,,0,h92454453900169712,2,5,q3309768254935251
5,,0,h59766905418556511,2,-9,q2453213705221752
-3,,0,h94652128157950066,2,4,q4256127508853329
7,,0,h76319020091106012,1,3,q8457136596538340
2,,0,h20868081769505747,1,-9,q2608931301283595
2,,0,h41853839784297927,4,3,q9724223993882748
1,,0,h13923365275098809,2,-9,q8067681138261034
-9,,0,h92214041453138900,3,4,q1525631827592377
-3,,0,h82324054167751934,2,4,q8281536398869526
-7,,0,h76924496696880436,2,4,q5406320123206678
-3,,0,h98728143064598185,1,2,q6945690610671030
6,,0,h67631731289827116,5,3,q7188063498728667
7,,0,h73168827628083853,2,3,q2727888764715412
6,,0,h54710970534969460,1,-9,q9511726091411236
-3,,0,h57490596551908876,2,4,q2845746496149105
4,,0,h70852759730165369,1,3,q3654875842632819
6,,0,h62488467983892990,1,1,q5980382194408369
-7,,0,h64490414975013759,1,3,q8127351179722889
1,,0,h23737053406078989,2,-7,q8914470653620170
1,,0,h54912453620685414,5,5,q9677198651073243
3,,0,h37456129091880409,2,-7,q5682197528757317
6,,0,h49452452040286201,5,2,q1127409603451723
5,,0,h25487712871939034,2,3,q8194949622631558
-7,,0,h24698862670796302,2,5,q7837058619121231
-9,,0,h92533326189384616,2,3,q5757541474412488
7,,0,h78548536729159353,1,-9,q6638618360957647
-7,,0,h60397993277318253,1,-7,q5643220644163079
5,,0,h59386465113881546,5,1,q3715965383411866
4,,0,h28931067247054920,1,4,q9540944855988242
2,,0,h73008415223729541,1,-7,q9469703685131338
-3,,0,h81623674084007285,1,1,q5096925305379321
7,,0,h22002351046742317,2,-9,q1524817376255269
3,,0,h67875556264411570,1,4,q1501920090533650
7,,0,h78784154958886037,1,-7,q3732866674444767
4,,0,h89236800623000872,2,3,q9527347342740891
1,,0,h77054252227834456,2,-7,q1654324008268227
-7,,0,h87062958002378133,5,2,q8664683959598129
-7,,0,h41755278827146729,1,-7,q8883789743162809
7,,0,h50314557242089180,1,4,q6265129255258648
4,,0,h14331543567421459,4,4,q9240814905061088
-3,,0,h94846326447400759,5,1,q1980055441267142
5,,0,h25599175190093852,2,5,q6838920765649769
-3,,0,h30555918630942296,2,4,q5533198652152587
4,,0,h62791937435694285,1,4,q7243233510824263
-9,,0,h93182889353567751,2,-9,q1002401106897753
-9,,0,h20229712457493987,2,2,q4416188069415555
-7,,0,h61983165383223527,1,4,q6932654840038581
6,,0,h64346410161869735,5,3,q7189632880208738
3,,0,h80833850240262732,2,4,q5746727322917636
-3,,0,h29287048958327241,2,4,q4328222640767184
6,,0,h17411073442383674,2,-9,q7106948091011525
-7,,0,h61686909894788114,1,-9,q2417781937459410
-7,,0,h33966146597404214,2,-9,q9531234492045586
2,,0,h76126412752548172,2,-7,q7544364283217936
-3,,0,h68002729098951886,2,-9,q7987311803273699
2,,0,h13213461472048202,4,5,q9941344278562281
-9,,0,h99442290257170724,3,3,q9691377922578441
-9,,0,h32477801208235971,1,2,q2499557577952658
1,,0,h90804792541537137,2,-7,q2824417669672540
-7,,0,h30088924029239925,1,5,q1084180101479278
3,,0,h37591783662329181,2,3,q1909990956673315
6,,0,h27199396846424501,2,3,q9290441535446307
3,,0,h70956486896803715,3,4,q4277908091931959
1,,0,h90755855368186117,2,-9,q2295878815246867
4,,0,h40773348294383856,2,2,q9645141056598232
5,,0,h29912057928973632,4,-9,q4825813401560801
1,,0,h61816091767032636,2,-9,q1075272476580857
-9,,0,h97623501887175230,2,1,q8177822409985384
5,,0,h82079486218570379,2,2,q8914745674930543
3,,0,h36791153983288311,2,1,q5917089204267957
2,,0,h73302538155323206,1,1,q6536928921679264
7,,0,h78415487598319045,5,3,q7385438242669995
-3,,0,h22635465664439342,3,3,q1685250774031459
-3,,0,h65601411668586981,1,1,q5805366605448868
2,,0,h82253350216858432,1,2,q7988935784461364
