CE_Address,CE_Address_Postcode,CE_ID,CE_OA,Nature_Of_Establishment,Number_Of_Residents
"30 Alexander motorway, Frostfort",SG9 4QG,29605703102949477,E00135642,21,33
"Studio 6
Sean vista, North Joel",W6 4LL,75063673652571429,E00165662,2,19
"2 Shaw stravenue, Francisshire",CF2 5ZG,18351922123125199,E00135694,7,27
"610 Pugh way, East Adamhaven",M99 7BP,52766112427160396,E00120106,21,14
"Flat 49I
Bryan spurs, West Stacey",NW7R 5QQ,98209389769909058,E00164527,18,32
"Studio 58
Phillip trail, Smithfurt",RH70 9XZ,81527229522067200,E00164547,12,25
"2 Hilton plaza, South Bethchester",TF72 8BP,52153748166267292,E00164052,-9,21
"Flat 8
Sharon pike, Aimeehaven",GY7V 9ZP,48660161109487909,E00119961,1,44
"Studio 38u
Perkins course, Clarkeshire",B15 3WY,70903526933327707,E00172232,18,32
"Studio 81Z
Morgan cliff, Victorshire",KY4 3HS,78352306869829807,E00142043,4,6
"Studio 4
Sam forest, East Karl",N4 4AB,99366805986661673,E00165409,17,31
"Studio 38B
Barrett mill, Norrisberg",KA2Y 4JJ,94842694680064312,E00135832,7,23
"Flat 0
Wells isle, O'Connorfurt",CO28 8QP,48603114327525071,E00037361,5,31
"1 Leslie gateway, Lewisville",L8 2BW,91435451055811099,E00164624,-7,37
"Flat 9
Clark mountain, Williamshaven",HA8 5UJ,45797344322384940,E00119857,10,27
"Studio 03y
Sean mountain, West Chelseatown",N8S 3QG,10109346404637117,E00119941,3,8
"051 Thomas way, West Anthonyville",B2 4SX,76604989821195418,E00142176,20,12
"6 Suzanne road, Petersshire",SR1H 3WP,23200708096728311,E00135511,11,7
"527 Dominic crossroad, Dixonborough",M1D 6DN,32194311539363576,E00152572,14,47
"Studio 65
Gibbons harbor, Geoffreyville",LE4 2GL,93418428741379084,E00165635,13,32
"77 Clarke hills, East Lewisfort",N79 8QW,91455836829030695,E00142043,3,18
"Studio 08P
Hazel garden, Port Cliveside",ME29 6RU,65082929209021151,E00119796,17,26
"286 Liam meadows, Lake Michael",LE5 4QQ,71202964975567127,E00135786,17,39
"2 Knowles lock, Parkerborough",L1W 3QE,44805791582595081,E00152591,8,9
"Flat 80
Shaun mountains, East Barbara",S93 6HN,20140629995972644,E00164467,5,8
"724 Aimee stream, Thomasfurt",S6 6JX,33590806578475269,E00142040,10,38
"42 Riley brooks, East Judith",B9G 5XG,33966515414211680,E00135507,2,39
"Flat 50k
Williams shoal, North Andrew",B5 1UJ,88546475063832423,E00165653,21,45
"Flat 4
Frederick course, East Leon",BA0A 6NU,40791515546449685,E00142045,10,12
"Studio 24
Owen manors, New Simonfort",PE7H 9WW,63569939914325603,E00135622,20,47
"Flat 87
Walker lakes, Geraldfurt",HU54 5EU,70170448272928694,E00135562,-7,25
"8 Shaw plain, Lake Gemmamouth",W4 7DY,36783912187072446,E00037138,12,49
"7 Claire coves, Wrightland",N7 0JU,25127977166876790,E00169853,-7,38
"Studio 41
Karen shoal, Priceport",M95 8ER,85910389572899015,E00165383,6,13
"Studio 52x
Valerie pines, East Maureen",L7E 2XB,52067424258874100,E00153411,22,31
"Studio 0
Katy pass, West Rogerstad",CH9V 1FH,73915715631865576,E00135737,-7,30
"7 Long square, Karlborough",HX9 7YN,97130864393944230,E00119865,3,15
"237 Harper estate, South Jodie",CF9 3FN,58989690096067730,E00173918,-7,6
"Flat 35
Stacey crest, Ritaville",SY4 0YP,57450936033503165,E00119964,2,13
"Studio 73
Smith overpass, Lake Gordonton",YO7W 3HY,75693301922092006,E00153418,22,29
"352 Taylor mission, New Amber",W3K 1DE,62018908679854408,E00135423,18,17
"Flat 00
Farmer circles, South Gareth",W49 8YA,53417420542544538,E00153684,13,10
"Studio 34
Akhtar port, Port Henry",W8T 2RW,51350940318599955,E00164603,9,13
"83 Aimee burgs, Conorburgh",S5F 0SR,74449141601704249,E00165615,17,25
"91 Connor meadow, Nichollsbury",S69 7JY,19038043523114178,E00153427,14,23
"Studio 4
Moore cliffs, Dannyfurt",S0 6SW,22832938220652368,E00119861,20,35
"88 Mitchell key, Samchester",L4 0EE,19705872352307676,E00170124,4,20
"Studio 3
Atkinson river, New Douglasbury",L9 5SR,68597298690660049,E00152623,6,40
"861 Lewis terrace, Lake Ashleyberg",LU3 6DQ,28698975345950434,E00165529,3,13
"1 White mount, Farmershire",ML6X 2JJ,87243024535492456,E00120102,3,45
"754 Rhys rue, Hughburgh",DA73 5TT,83586061065227057,E00165396,3,18
"2 Victoria ridges, South Lorraine",CM5 3WP,93383376079912831,E00120074,2,30
"Studio 0
Amy brook, East Maria",B3S 6AJ,57239570518023723,E00165582,15,23
"Flat 98
Williams orchard, Woodberg",S6 5UW,22975684064548304,E00165387,10,20
"371 Murray forge, Port Joanneborough",HR8 4AL,59732056811304453,E00164491,20,33
"Flat 2
Lewis forges, North Brettland",CV94 2XG,47220534981401649,E00164383,10,17
"6 Max ridge, Lake Bethanside",W3H 7EY,21321124485996144,E00172230,18,46
"0 Janice lights, West Hannah",N5U 5DA,55634437150406867,E00142125,20,35
"045 Elizabeth points, West Amelia",N7S 0HE,82580546430624771,E00037090,6,25
"033 Jackson walks, North Dannyberg",W42 3XL,94771501543027801,E00152584,12,10
"Flat 32J
Webster prairie, Lake Malcolm",DT0 1XH,99171517346139749,E00119950,-7,27
"46 Miles glen, South Hannahbury",W9 4UW,17417199352752678,E00164544,13,46
"Studio 66u
Karen fork, New Aimee",OL8 5DP,83897136156564239,E00164486,8,37
"Flat 27R
Goddard plain, North Pauline",NW9 6NX,53873584525596060,E00135847,15,33
"7 James street, West Saramouth",W5B 6WS,50161482975573317,E00135806,10,23
"0 Lydia flats, Timothymouth",ST1N 6AZ,28116795717926672,E00163905,8,21
"Flat 31F
Diana expressway, East Amyville",EC62 8GP,91029271092478880,E00164563,17,47
"538 Green drive, Laurenmouth",BA3 9HS,75106769398677183,E00152615,3,9
"421 Marcus prairie, Nixonmouth",W0W 9GX,85918402852631942,E00037349,14,24
"Studio 45
David islands, Lake Richardside",TW20 3NF,50462093180425489,E00153465,7,16
"4 Marc plains, Nicholasside",L3S 3RE,70157703726538188,E00152574,1,30
"847 Griffiths fall, East Francis",E8 9UW,53372839430883685,E00119858,8,42
"9 Marshall club, Jamesside",M3E 3ER,70656132900152288,E00135676,6,49
"Studio 1
Lawrence circle, Tonyborough",E12 0DW,90452790431729588,E00120075,20,49
"100 Hilton bridge, Julianbury",DL9M 1PG,78844483043674117,E00165589,20,12
"Studio 5
Gordon tunnel, Yateschester",RH00 0UA,58392160412797734,E00120101,4,9
"8 Roy forge, Lake Timothy",WA60 9TZ,50483547879361593,E00135554,4,9
"48 Ruth squares, East Billy",CR2N 9UH,10813244762861010,E00037235,4,11
"167 Newman viaduct, West Wayne",N64 7ZH,72091020542765541,E00135406,10,7
"Studio 42
Martin views, Port Jamiehaven",SW5H 1XE,32656130070818610,E00120130,13,42
"Flat 0
Colin radial, South Francestown",CM5 0DJ,43236803740746124,E00135806,20,45
"Studio 20B
Kenneth spurs, Lewisstad",CF4V 0QF,97738593914088622,E00165420,22,24
"27 Hughes street, Rossmouth",OL2 9EG,53525724766197440,E00141265,5,42
"194 Bird circles, Turnerhaven",L50 9PD,42236435439345639,E00173917,7,20
"Flat 18s
Liam ports, Thompsonchester",G2 3ZF,48046778254047554,E00037142,11,46
"Flat 51
Smith forges, North Malcolm",B80 0GY,65426601974718526,E00135482,3,7
"112 Ali viaduct, Holtville",IM4E 1BZ,57404434036314153,E00153421,-7,15
"481 Storey extension, Edwardsstad",W2 0EX,69365400637617034,E00142070,22,14
"Studio 67Z
Leigh branch, Nichollsport",LA6 4RN,40191012869050572,E00164594,22,13
"5 Victor track, New Natasha",E7D 7FF,18329494236000028,E00165369,9,29
"Studio 23
Elliott island, Lake Trevorshire",ZE8M 5SD,47876523505966576,E00165627,17,44
"1 Begum meadows, West Kathleen",WA6A 0YB,56499452619089927,E00135596,16,40
"Studio 50
Sinclair branch, Westside",B2 9EW,47328477007521259,E00172226,5,49
"Studio 06h
Mason shores, Lake Ritaton",LN9 5JP,69782783000596816,E00135611,19,14
"110 Thorpe overpass, Lake Shirley",BR6A 6GB,13830303062010501,E00153466,18,35
"Studio 19R
Antony forges, Crossfort",MK17 6ZU,30506216777075314,E00164108,9,30
"Flat 26n
Connor unions, Kaychester",N4D 4RQ,63204950238477573,E00169668,7,7
"Studio 90
Richards rue, Lesliestad",G4 8LT,98306142332873101,E00165417,9,9
"Flat 39
Douglas valleys, South Andrewmouth",M55 3SY,92451375841540592,E00037244,20,26
"1 Kimberley highway, Port Mariantown",WA12 4PE,45512763361151617,E00135411,21,31
"452 Cheryl cliff, South Dylanton",W5 2TQ,90993453792102077,E00142037,7,20
"718 Dyer corner, Lake Trevor",M8 6XW,14641786112460914,E00165616,9,12
"89 Lewis pines, East Connorberg",E6 8JQ,61583557352171469,E00164568,-7,34
"Flat 2
Samuel hill, New Paulinefurt",S3F 3NR,62263296005503985,E00165636,21,42
"Flat 24
Martin gardens, New Kenneth",TN5R 3WZ,82507766248348602,E00037398,17,22
"645 Kayleigh mews, Martynborough",SR7 6TJ,51701822704016112,E00163945,16,8
"3 Duncan point, Robinsonport",W4B 0LL,41397668632623208,E00153386,1,13
"77 Jordan mountain, North Steventon",B0 0JA,59449021493408692,E00135838,18,26
"6 Jenkins heights, New Catherine",SY2 9DH,93659769420950059,E00135432,9,42
"4 Raymond pass, South Katherine",M6 9NA,29498074953696936,E00135593,-9,13
"600 James crescent, Tomstad",TD98 6DG,21962876278556739,E00165349,6,11
"988 Danny highway, Ianside",M81 3SN,23882003038872031,E00135556,5,49
"4 Jones landing, West Vincentport",DT8 6FP,39095467875310575,E00119868,8,31
"4 Wilson inlet, North Katiemouth",HG9 2XL,26794530253638893,E00170113,-7,37
"7 Kieran lodge, Port Francesca",B3 3LZ,43445436366032229,E00164511,19,15
"Flat 42X
Brandon dam, Gregorychester",ML4X 6RB,42774263224458438,E00152663,1,46
"Studio 46
Rosemary drive, Port Jasonton",DT8 3QF,59165153262671707,E00164509,3,20
"Studio 8
Amber summit, South Paul",B77 7PB,24048088945132689,E00165623,-7,24
"674 Harrison village, North Sarahside",KA8 2FA,55943769936110989,E00169851,21,36
"Flat 76
Shirley courts, Hartleymouth",DA0N 7FN,96690486922262992,E00120028,13,26
"Studio 11
George skyway, Tracyborough",L87 0LF,22442021565802264,E00119797,16,31
"59 Barry points, Port Shane",W2 1RF,47836647191030530,E00119892,16,17
"Studio 34A
Campbell valley, Port Lisafurt",SN3W 3HJ,83478052282635893,E00153471,18,40
"5 Ross freeway, South Katie",PR5 5GW,92196156959026744,E00135398,13,47
"21 Davies square, New Lyndaport",KA7 2LY,72025008586679870,E00037395,-7,10
"835 Danny orchard, New Lisa",CA2 0SX,39687589940938876,E00152638,21,31
"Flat 5
Hudson way, Port Paulfort",SA51 1GN,10095312029894240,E00153579,11,38
"09 Grace turnpike, Macdonaldview",WR7 6FY,94814720281963150,E00152615,2,27
"572 Abigail parks, New Tinaport",S4 3EL,62974247334285883,E00164469,2,43
"52 Burton junction, Jacobfort",W7 2HS,53035967039268424,E00120173,9,27
"Studio 59d
Green centers, Port Richardchester",CT3A 4DQ,30951883658197370,E00135698,5,15
"76 Josh fork, Hillshire",PA3R 6RZ,36580179366199051,E00142016,-9,29
"090 Malcolm mission, Sarahberg",SS02 3AW,69992521970124848,E00120171,9,20
"51 Gill courts, Barbaramouth",TS0B 3WF,97006833738665620,E00135767,-7,41
"51 Gemma rue, Lake Denis",IM6Y 9AA,66982852838772743,E00163900,17,16
"5 Humphreys garden, South Joyce",DG38 5PS,80456947871655389,E00120014,9,27
"Studio 74w
Norman radial, East Jeffreyburgh",BL4N 5HP,98636048968139281,E00153394,-7,43
"Flat 48
Russell locks, Baldwinshire",W8W 4RD,48079546446042238,E00142070,10,44
"40 O'Connor dale, Port Jacob",CA01 6TW,21128517306420045,E00120094,6,33
"4 McCarthy glen, East Chloe",M8G 8ZA,36139175888995547,E00165411,8,28
"7 Hall view, Port Suzannestad",PL54 2FB,93609196543666173,E00164390,11,37
"Flat 4
Booth avenue, Richardport",TD1 6UT,59553773895686890,E00164500,4,31
"Studio 69
Brenda mount, South Jonathan",HS5 9QQ,29658183229407467,E00164045,8,16
"Studio 34
Chambers grove, Darrenberg",TN19 3BE,47958867480316398,E00120175,-9,18
"22 Judith motorway, New Declanberg",L7U 3WL,32777047799137123,E00153540,1,28
"Studio 91W
Law isle, Miahborough",EN85 9HF,73169178290966424,E00135661,-7,15
"Studio 35T
Danny overpass, Melanieville",HD8 9GQ,14099677519682447,E00037296,2,22
"Studio 64u
Norman prairie, Port Stewartstad",N6D 3RS,96491229688484178,E00142031,20,31
"3 Middleton shore, Joanborough",L1G 7HX,12683302805563709,E00165464,15,28
"64 Knight harbor, Port Rosemary",G9U 0BJ,49635250599400927,E00165658,4,9
"7 Webb mission, West Carlstad",N35 7AR,92253828131571102,E00120176,12,41
"Studio 40
Harris ports, West Annaland",DE5 2SF,35341326172068306,E00165601,12,44
"300 Campbell cape, Boothborough",EN96 9WZ,28401519708435022,E00135698,12,46
"966 Williams turnpike, Scottfort",E3 1HW,23815993871221261,E00135530,16,19
"Studio 85
William point, Flemingfurt",WC7X 8HJ,30564536855920265,E00163946,14,9
"Flat 37
Marshall summit, New Patriciatown",SG1M 3DN,55004313295503458,E00120156,21,19
"6 Janice village, Declanfort",DD3X 9ZU,38629672695779315,E00135697,14,7
"Studio 10m
Nicole well, Antonymouth",G9E 6JF,19565388163715803,E00153685,19,36
"Studio 54
Lydia inlet, West Annette",FY9P 4HY,58596315385334317,E00164590,17,38
"Studio 3
Richard square, Williamshaven",S08 9TY,31573126492563570,E00164511,12,40
"Flat 89
Patrick shore, Samland",CM7 8JS,86072444546255406,E00135785,8,13
"318 Sylvia creek, New Lindaland",GL9Y 5LA,93140638543408986,E00142022,16,20
"3 Foster harbors, Lake Jessica",LD2 5XZ,99999627656017078,E00141213,2,35
"Flat 0
Wood road, New Georgiaberg",N70 7WA,35140010984750432,E00037153,5,20
"4 Jayne forks, Pateltown",S6 2AP,68950185495445840,E00037391,13,34
"42 Bethan way, Lake Gerard",N42 1WR,34378171584905154,E00165461,9,9
"Studio 36
Watson burgs, Vanessaside",NW24 7ZQ,89201500435817961,E00165505,20,20
"Flat 36M
Philip field, West Paigestad",KW9 0YD,33935603008895242,E00164551,-7,33
"Studio 32
Chelsea road, North Rachel",W4D 0US,90500215199779779,E00142228,13,38
"Studio 4
Donald summit, Andersonburgh",IV0E 1QB,56429226816506734,E00165463,6,21
"Flat 00
Dean stream, Alicebury",S3A 3SD,85378946293900745,E00120023,4,21
"4 Bruce port, Port Aaron",PO4 6XT,70501258889607856,E00135544,10,48
"Flat 63g
Thomas creek, Brucemouth",S9 3NA,40855705396425955,E00135395,-9,12
"Flat 41o
Justin canyon, East Chelseatown",DG5 9YH,61303196095272330,E00120082,16,17
"698 Jeffrey vista, Jillport",YO2E 6QJ,55187860146273343,E00163911,18,35
"5 Chadwick vista, New Emilyberg",G45 4AQ,28968414600174508,E00152632,8,22
"1 Ashleigh burg, Lake Valerieside",N45 2PN,65639414390209812,E00037301,13,28
"Studio 17R
Ross green, Barrymouth",ST3B 2XH,96151886916436289,E00164402,2,26
